country_name,city_name,aqi_value,aqi_category,dominant_pollutant,predicted_aqi,error,risk_level
Belgium,Fleurus,58,Moderate,PM2.5,58.0,0.0,Moderate
Russian Federation,Vanino,22,Good,PM2.5,22.0,0.0,Good
Belgium,Kruibeke,47,Good,PM2.5,47.0,0.0,Good
Czechia,Karvina,80,Moderate,PM2.5,80.0,0.0,Moderate
Viet Nam,Dien Bien,21,Good,OZONE,21.0,0.0,Good
Thailand,Rong Kwang,53,Moderate,PM2.5,53.0,0.0,Moderate
United States of America,Port Arthur,29,Good,PM2.5,29.0,0.0,Good
Philippines,Orion,43,Good,PM2.5,43.0,0.0,Good
India,Moirang,67,Moderate,PM2.5,67.0,0.0,Moderate
India,Dhaka,235,Very Unhealthy,PM2.5,235.2,0.2,Very Unhealthy
Brazil,Almirante Tamandare,13,Good,PM2.5,12.1,0.9,Good
Afghanistan,Kholm,123,Unhealthy for Sensitive Groups,PM2.5,123.0,0.0,Unhealthy (Sensitive)
Russian Federation,Zainsk,28,Good,OZONE,28.0,0.0,Good
United States of America,Loves Park,39,Good,OZONE,39.0,0.0,Good
Greece,Trikala,99,Moderate,PM2.5,99.0,0.0,Moderate
Nigeria,Offa,106,Unhealthy for Sensitive Groups,PM2.5,106.0,0.0,Unhealthy (Sensitive)
Chad,Bitkine,37,Good,PM2.5,37.0,0.0,Good
Netherlands,Veghel,37,Good,PM2.5,37.0,0.0,Good
Ukraine,Zhovkva,67,Moderate,PM2.5,67.0,0.0,Moderate
Germany,Lotte,31,Good,PM2.5,31.0,0.0,Good
Germany,Beverungen,59,Moderate,PM2.5,59.0,0.0,Moderate
Brazil,Diamantino,75,Moderate,PM2.5,75.0,0.0,Moderate
India,Patancheru,189,Unhealthy,PM2.5,188.7,0.3,Unhealthy
United States of America,Cudahy,141,Unhealthy for Sensitive Groups,PM2.5,141.0,0.0,Unhealthy (Sensitive)
Italy,Monte San Pietro,39,Good,OZONE,39.0,0.0,Good
Italy,Paese,72,Moderate,PM2.5,72.0,0.0,Moderate
Australia,Ballarat,22,Good,PM2.5,22.0,0.0,Good
Brazil,Regeneracao,39,Good,PM2.5,39.0,0.0,Good
Russian Federation,Sunzha,40,Good,PM2.5,40.0,0.0,Good
Guatemala,Poptun,48,Good,PM2.5,48.0,0.0,Good
Denmark,Flong,35,Good,PM2.5,35.0,0.0,Good
China,Qujing,46,Good,PM2.5,46.0,0.0,Good
United States of America,Park Ridge,64,Moderate,PM2.5,64.0,0.0,Moderate
United States of America,Delaware,42,Good,OZONE,42.0,0.0,Good
Russian Federation,Kargopol,31,Good,OZONE,31.0,0.0,Good
Italy,Margherita Di Savoia,48,Good,OZONE,48.0,0.0,Good
Belgium,Geraardsbergen,52,Moderate,PM2.5,52.0,0.0,Moderate
Belgium,Maasmechelen,44,Good,PM2.5,44.0,0.0,Good
Russian Federation,Salavat,38,Good,PM2.5,38.0,0.0,Good
United Republic of Tanzania,Maposeni,28,Good,PM2.5,28.0,0.0,Good
Mexico,Lopez Mateos,175,Unhealthy,PM2.5,175.0,0.0,Unhealthy
Lithuania,Raseiniai,31,Good,PM2.5,31.0,0.0,Good
France,Caluire Et Cuire,55,Moderate,PM2.5,55.0,0.0,Moderate
Ukraine,Mykhaylivka,38,Good,OZONE,38.0,0.0,Good
India,Narsipatnam,92,Moderate,PM2.5,92.0,0.0,Moderate
Brazil,Sao Sebastiao Do Passe,63,Moderate,PM2.5,63.0,0.0,Moderate
Nigeria,Nkpor,166,Unhealthy,PM2.5,165.7,0.3,Unhealthy
Ukraine,Starokostyantyniv,35,Good,OZONE,35.0,0.0,Good
Japan,Haebaru,32,Good,OZONE,32.0,0.0,Good
Turkey,Terme,37,Good,OZONE,37.0,0.0,Good
Belgium,Meise,34,Good,PM2.5,34.0,0.0,Good
India,Ganganagar,500,Hazardous,PM2.5,500.0,0.0,Hazardous
Poland,Zlotow,30,Good,OZONE,30.0,0.0,Good
Russian Federation,Yasnyy,114,Unhealthy for Sensitive Groups,PM2.5,114.0,0.0,Unhealthy (Sensitive)
Russian Federation,Dolgoprudnyy,54,Moderate,PM2.5,54.0,0.0,Moderate
Germany,Naumburg,32,Good,PM2.5,32.0,0.0,Good
France,Hem,38,Good,PM2.5,38.0,0.0,Good
Peru,Bagua Grande,26,Good,PM2.5,26.0,0.0,Good
Germany,Bad Krozingen,76,Moderate,PM2.5,76.0,0.0,Moderate
India,Murud,101,Unhealthy for Sensitive Groups,PM2.5,101.0,0.0,Unhealthy (Sensitive)
United States of America,Greenbelt,52,Moderate,OZONE,52.0,0.0,Moderate
United Kingdom of Great Britain and Northern Ireland,Egham,53,Moderate,PM2.5,53.0,0.0,Moderate
India,Pali,173,Unhealthy,PM2.5,173.0,0.0,Unhealthy
United States of America,Waunakee,58,Moderate,PM2.5,58.0,0.0,Moderate
Japan,Maki,41,Good,OZONE,41.0,0.0,Good
India,Patrasaer,150,Unhealthy,PM2.5,150.0,0.0,Unhealthy (Sensitive)
Indonesia,Ambarawa,86,Moderate,PM2.5,86.0,0.0,Moderate
India,Shrigonda,141,Unhealthy for Sensitive Groups,PM2.5,141.2,0.2,Unhealthy (Sensitive)
United States of America,Skokie,82,Moderate,PM2.5,82.0,0.0,Moderate
Brazil,Goiana,25,Good,OZONE,25.0,0.0,Good
India,Ajnala,157,Unhealthy,OZONE,157.0,0.0,Unhealthy
Peru,Nuevo Imperial,28,Good,PM2.5,28.0,0.0,Good
Russian Federation,Selyatino,43,Good,PM2.5,43.0,0.0,Good
United States of America,Healdsburg,31,Good,OZONE,31.0,0.0,Good
Czechia,Havlickuv Brod,31,Good,PM2.5,31.0,0.0,Good
United States of America,Chalmette,84,Moderate,PM2.5,84.0,0.0,Moderate
Brazil,Campo Alegre,25,Good,PM2.5,25.0,0.0,Good
India,Akodia,154,Unhealthy,PM2.5,154.0,0.0,Unhealthy
United States of America,Schererville,72,Moderate,PM2.5,72.0,0.0,Moderate
Guatemala,Nuevo San Carlos,111,Unhealthy for Sensitive Groups,PM2.5,111.0,0.0,Unhealthy (Sensitive)
Brazil,Cajuru,50,Good,PM2.5,50.0,0.0,Good
Uganda,Mbale,75,Moderate,PM2.5,75.0,0.0,Moderate
Portugal,Aldeia De Paio Pires,32,Good,OZONE,32.0,0.0,Good
United States of America,Willmar,46,Good,PM2.5,46.0,0.0,Good
South Africa,Molteno,50,Good,PM2.5,50.0,0.0,Good
Benin,Nikki,41,Good,PM2.5,41.0,0.0,Good
United States of America,Pleasant Prairie,55,Moderate,PM2.5,55.0,0.0,Moderate
Poland,Krnov,95,Moderate,PM2.5,95.0,0.0,Moderate
United States of America,South Saint Paul,52,Moderate,PM2.5,52.0,0.0,Moderate
France,Luneville,38,Good,PM2.5,38.0,0.0,Good
Poland,Ostrow Mazowiecka,35,Good,OZONE,35.0,0.0,Good
Italy,Foggia,62,Moderate,OZONE,62.0,0.0,Moderate
Italy,Abano Terme,69,Moderate,PM2.5,69.0,0.0,Moderate
Japan,Togane,50,Good,OZONE,50.0,0.0,Good
Brazil,Barra Do Bugres,63,Moderate,PM2.5,63.0,0.0,Moderate
United States of America,Palm Springs,35,Good,PM2.5,35.0,0.0,Good
Turkmenistan,Farap,150,Unhealthy,PM2.5,150.0,0.0,Unhealthy (Sensitive)
Greece,Polikhni,67,Moderate,PM2.5,67.0,0.0,Moderate
Somalia,Berbera,90,Moderate,PM2.5,90.0,0.0,Moderate
Germany,Niederkruchten,56,Moderate,PM2.5,56.0,0.0,Moderate
Russian Federation,Arkadak,28,Good,OZONE,28.0,0.0,Good
Brazil,Sao Raimundo Nonato,22,Good,PM2.5,22.0,0.0,Good
Russian Federation,Kozmodemyansk,33,Good,OZONE,33.0,0.0,Good
Czechia,Jihlava,30,Good,OZONE,30.0,0.0,Good
South Africa,Vryburg,103,Unhealthy for Sensitive Groups,PM2.5,103.0,0.0,Unhealthy (Sensitive)
Japan,Nogata,33,Good,OZONE,33.0,0.0,Good
Philippines,Lalig,90,Moderate,PM2.5,90.0,0.0,Moderate
Ukraine,Nadvirna,51,Moderate,PM2.5,51.0,0.0,Moderate
Italy,Bussolengo,83,Moderate,PM2.5,83.0,0.0,Moderate
El Salvador,Chalatenango,107,Unhealthy for Sensitive Groups,PM2.5,107.2,0.2,Unhealthy (Sensitive)
Russian Federation,Sherlovaya Gora,32,Good,OZONE,32.0,0.0,Good
United Kingdom of Great Britain and Northern Ireland,Bootle,65,Moderate,PM2.5,65.0,0.0,Moderate
India,Gobindapur,198,Unhealthy,PM2.5,198.0,0.0,Unhealthy
India,Andippatti,45,Good,PM2.5,45.0,0.0,Good
United States of America,Westwood,50,Good,PM2.5,50.0,0.0,Good
France,Lons,36,Good,OZONE,36.0,0.0,Good
United States of America,Whitman,38,Good,PM2.5,38.0,0.0,Good
Romania,Nicolae Balcescu,66,Moderate,PM2.5,66.0,0.0,Moderate
Germany,Haselunne,33,Good,OZONE,33.0,0.0,Good
Philippines,Samal,61,Moderate,PM2.5,61.0,0.0,Moderate
Brazil,Ipiau,37,Good,PM2.5,37.0,0.0,Good
India,Ilkal,59,Moderate,PM2.5,59.0,0.0,Moderate
India,Nalbari,108,Unhealthy for Sensitive Groups,PM2.5,108.0,0.0,Unhealthy (Sensitive)
Japan,Bihoro,37,Good,PM2.5,37.0,0.0,Good
Peru,Ilo,18,Good,OZONE,18.0,0.0,Good
,Bissau,134,Unhealthy for Sensitive Groups,PM2.5,134.0,0.0,Unhealthy (Sensitive)
Spain,Tarragona,48,Good,PM2.5,48.0,0.0,Good
France,Gagny,30,Good,PM2.5,30.0,0.0,Good
France,Joinville Le Pont,71,Moderate,PM2.5,71.0,0.0,Moderate
Guinea,Telimele,51,Moderate,PM2.5,51.0,0.0,Moderate
Italy,Fasano,55,Moderate,PM2.5,55.0,0.0,Moderate
Indonesia,Temanggung,87,Moderate,PM2.5,87.0,0.0,Moderate
China,Yangjiang,56,Moderate,PM2.5,56.0,0.0,Moderate
United States of America,Imperial Beach,59,Moderate,PM2.5,59.0,0.0,Moderate
Iran (Islamic Republic of),Kalaleh,70,Moderate,PM2.5,70.0,0.0,Moderate
Italy,Caselle Torinese,79,Moderate,PM2.5,79.0,0.0,Moderate
Spain,Calvia,49,Good,OZONE,49.0,0.0,Good
United States of America,Niagara Falls,42,Good,PM2.5,42.0,0.0,Good
United States of America,Norman,78,Moderate,PM2.5,78.0,0.0,Moderate
Germany,Wetter,62,Moderate,PM2.5,62.0,0.0,Moderate
Brazil,Vespasiano,42,Good,PM2.5,42.0,0.0,Good
Brazil,Uruacu,43,Good,PM2.5,43.0,0.0,Good
United States of America,Lubbock,54,Moderate,PM2.5,54.0,0.0,Moderate
India,Bilari,500,Hazardous,PM2.5,497.9,2.1,Hazardous
Belgium,Aywaille,31,Good,PM2.5,31.0,0.0,Good
Uzbekistan,Koson,159,Unhealthy,PM2.5,159.0,0.0,Unhealthy
Brazil,Vicosa Do Ceara,40,Good,PM2.5,40.0,0.0,Good
Germany,Kalkar,33,Good,OZONE,33.0,0.0,Good
Romania,Resita,72,Moderate,PM2.5,72.0,0.0,Moderate
Russian Federation,Tarusa,41,Good,PM2.5,41.0,0.0,Good
Pakistan,Mamu Kanjan,188,Unhealthy,PM2.5,188.0,0.0,Unhealthy
India,Barmer,328,Hazardous,PM2.5,378.7,50.7,Hazardous
,Saint Simons,41,Good,PM2.5,41.1,0.1,Good
Belgium,Sint Pieters Leeuw,41,Good,PM2.5,41.0,0.0,Good
Spain,Sant Cugat Del Valles,50,Good,PM2.5,50.0,0.0,Good
United Republic of Tanzania,Mbeya,21,Good,OZONE,21.0,0.0,Good
United States of America,Saint Peter,59,Moderate,PM2.5,59.0,0.0,Moderate
Serbia,Novi Becej,60,Moderate,PM2.5,60.0,0.0,Moderate
Italy,Orbetello,63,Moderate,PM2.5,63.0,0.0,Moderate
United States of America,Saco,49,Good,OZONE,49.0,0.0,Good
United States of America,Palatine,80,Moderate,PM2.5,80.0,0.0,Moderate
United Kingdom of Great Britain and Northern Ireland,Galashiels,25,Good,OZONE,25.0,0.0,Good
United States of America,Manitowoc,44,Good,PM2.5,44.0,0.0,Good
United Kingdom of Great Britain and Northern Ireland,Barry,51,Moderate,PM2.5,51.0,0.0,Moderate
Germany,Schwerte,53,Moderate,PM2.5,53.0,0.0,Moderate
Russian Federation,Gorodovikovsk,47,Good,OZONE,47.0,0.0,Good
Colombia,Viterbo,55,Moderate,PM2.5,55.0,0.0,Moderate
India,Shegaon,152,Unhealthy,PM2.5,152.0,0.0,Unhealthy
France,Loos,38,Good,PM2.5,38.0,0.0,Good
Brazil,Barroquinha,25,Good,PM2.5,25.0,0.0,Good
Indonesia,Polewali,30,Good,PM2.5,30.0,0.0,Good
United States of America,Kingman,34,Good,PM2.5,34.0,0.0,Good
India,Mahad,95,Moderate,PM2.5,95.1,0.1,Moderate
Madagascar,Toliary,19,Good,OZONE,19.0,0.0,Good
Italy,Pomezia,78,Moderate,OZONE,78.2,0.2,Moderate
United States of America,Melrose Park,52,Moderate,PM2.5,52.0,0.0,Moderate
United States of America,Sulphur,65,Moderate,PM2.5,65.0,0.0,Moderate
France,Mantes La Ville,63,Moderate,PM2.5,63.0,0.0,Moderate
Russian Federation,Kursk,64,Moderate,PM2.5,64.0,0.0,Moderate
India,Silchar,56,Moderate,PM2.5,56.0,0.0,Moderate
Russian Federation,Karasuk,32,Good,OZONE,32.0,0.0,Good
Belgium,La Louviere,73,Moderate,PM2.5,73.0,0.0,Moderate
United States of America,Artesia,61,Moderate,PM2.5,61.0,0.0,Moderate
China,Yuxia,141,Unhealthy for Sensitive Groups,OZONE,140.9,0.1,Unhealthy (Sensitive)
Indonesia,Pecangakan,150,Unhealthy,PM2.5,150.0,0.0,Unhealthy (Sensitive)
Somalia,Qandala,120,Unhealthy for Sensitive Groups,PM2.5,120.0,0.0,Unhealthy (Sensitive)
China,Peikang,201,Very Unhealthy,OZONE,201.1,0.1,Very Unhealthy
China,Youhao,46,Good,PM2.5,46.0,0.0,Good
Iran (Islamic Republic of),Ardistan,129,Unhealthy for Sensitive Groups,PM2.5,129.0,0.0,Unhealthy (Sensitive)
Russian Federation,Moshkovo,54,Moderate,PM2.5,54.0,0.0,Moderate
Brazil,Nova Olimpia,25,Good,PM2.5,25.0,0.0,Good
Italy,Cinisello Balsamo,90,Moderate,PM2.5,90.0,0.0,Moderate
Zimbabwe,Mutare,29,Good,PM2.5,29.0,0.0,Good
Ethiopia,Metehara,77,Moderate,PM2.5,77.0,0.0,Moderate
India,Parbhani,128,Unhealthy for Sensitive Groups,PM2.5,128.1,0.1,Unhealthy (Sensitive)
Italy,Perugia,44,Good,OZONE,44.0,0.0,Good
Denmark,Herning,32,Good,OZONE,32.0,0.0,Good
United States of America,Tamiami,64,Moderate,PM2.5,64.0,0.0,Moderate
Myanmar,Yenangyaung,42,Good,PM2.5,42.0,0.0,Good
Dominican Republic,Barahona,108,Unhealthy for Sensitive Groups,PM2.5,108.0,0.0,Unhealthy (Sensitive)
Brazil,Princesa Isabel,24,Good,PM2.5,24.0,0.0,Good
India,Bagalkot,57,Moderate,PM2.5,57.0,0.0,Moderate
India,Deori Khas,193,Unhealthy,PM2.5,193.4,0.4,Unhealthy
China,Dayong,130,Unhealthy for Sensitive Groups,OZONE,130.2,0.2,Unhealthy (Sensitive)
Kazakhstan,Ilyich,161,Unhealthy,PM2.5,161.0,0.0,Unhealthy
Italy,Muggia,80,Moderate,PM2.5,80.0,0.0,Moderate
Russian Federation,Tyukalinsk,34,Good,OZONE,34.0,0.0,Good
India,Kachhwa,187,Unhealthy,PM2.5,187.1,0.1,Unhealthy
Italy,Saronno,66,Moderate,PM2.5,66.0,0.0,Moderate
,Benaulim,56,Moderate,PM2.5,56.0,0.0,Moderate
Ukraine,Ochakiv,34,Good,OZONE,34.0,0.0,Good
Democratic Republic of the Congo,Goma,129,Unhealthy for Sensitive Groups,PM2.5,129.3,0.3,Unhealthy (Sensitive)
Japan,Toki,97,Moderate,PM2.5,97.0,0.0,Moderate
Turkey,Bolu,39,Good,OZONE,39.0,0.0,Good
Colombia,Ocana,55,Moderate,PM2.5,55.0,0.0,Moderate
India,Pennagaram,56,Moderate,PM2.5,56.0,0.0,Moderate
Philippines,Pandi,62,Moderate,PM2.5,62.0,0.0,Moderate
China,Shahe,202,Very Unhealthy,OZONE,201.2,0.8,Very Unhealthy
Poland,Zambrow,35,Good,OZONE,35.0,0.0,Good
United States of America,Humacao,97,Moderate,PM2.5,97.0,0.0,Moderate
Netherlands,Vaals,44,Good,PM2.5,44.0,0.0,Good
Pakistan,Wah,166,Unhealthy,PM2.5,166.1,0.1,Unhealthy
Mexico,Tixkokob,123,Unhealthy for Sensitive Groups,PM2.5,123.2,0.2,Unhealthy (Sensitive)
Russian Federation,Somovo,50,Good,PM2.5,50.0,0.0,Good
Russian Federation,Chelyabinsk 40,39,Good,OZONE,39.0,0.0,Good
United States of America,Denison,128,Unhealthy for Sensitive Groups,PM2.5,128.0,0.0,Unhealthy (Sensitive)
Guatemala,Santiago Atitlan,106,Unhealthy for Sensitive Groups,PM2.5,105.8,0.2,Unhealthy (Sensitive)
China,Pingliang,75,Moderate,OZONE,74.9,0.1,Moderate
Russian Federation,Nazarovo,26,Good,OZONE,26.0,0.0,Good
Canada,Montreal,68,Moderate,PM2.5,68.0,0.0,Moderate
India,Suratgarh,500,Hazardous,PM2.5,500.0,0.0,Hazardous
India,Tuljapur,104,Unhealthy for Sensitive Groups,PM2.5,104.0,0.0,Unhealthy (Sensitive)
Malaysia,Bandar Penggaram,76,Moderate,PM2.5,76.0,0.0,Moderate
Colombia,Socorro,56,Moderate,PM2.5,56.0,0.0,Moderate
France,Lyon,107,Unhealthy for Sensitive Groups,PM2.5,107.0,0.0,Unhealthy (Sensitive)
Russian Federation,Nizhnyaya Tura,41,Good,OZONE,41.0,0.0,Good
Brazil,Butia,41,Good,PM2.5,41.0,0.0,Good
Sri Lanka,Nawalapitiya,106,Unhealthy for Sensitive Groups,PM2.5,106.0,0.0,Unhealthy (Sensitive)
Austria,Bludenz,35,Good,PM2.5,35.0,0.0,Good
Finland,Nastola,29,Good,OZONE,29.0,0.0,Good
Russian Federation,Novoaleksandrovsk,33,Good,OZONE,33.0,0.0,Good
Papua New Guinea,Vanimo,15,Good,OZONE,15.0,0.0,Good
Netherlands,Lopik,35,Good,PM2.5,35.0,0.0,Good
Germany,Ennepetal,29,Good,PM2.5,29.0,0.0,Good
United States of America,Roanoke Rapids,42,Good,PM2.5,42.0,0.0,Good
Italy,Borgosesia,65,Moderate,PM2.5,65.0,0.0,Moderate
Malaysia,Melaka,61,Moderate,PM2.5,61.0,0.0,Moderate
India,Harihar,53,Moderate,PM2.5,53.0,0.0,Moderate
India,Narauli,500,Hazardous,PM2.5,500.0,0.0,Hazardous
China,Talin,202,Very Unhealthy,OZONE,202.0,0.0,Very Unhealthy
India,Achalpur,150,Unhealthy,PM2.5,150.0,0.0,Unhealthy (Sensitive)
Benin,Dogbo,101,Unhealthy for Sensitive Groups,PM2.5,101.0,0.0,Unhealthy (Sensitive)
Israel,Dimona,73,Moderate,PM2.5,73.0,0.0,Moderate
,Trapani,58,Moderate,PM2.5,58.0,0.0,Moderate
Norway,Askim,42,Good,OZONE,42.0,0.0,Good
Brazil,Cerqueira Cesar,53,Moderate,PM2.5,53.0,0.0,Moderate
India,Bannur,26,Good,PM2.5,26.0,0.0,Good
Germany,Hunxe,33,Good,PM2.5,33.0,0.0,Good
Spain,Campo De Criptana,33,Good,PM2.5,33.0,0.0,Good
Serbia,Kursumlija,57,Moderate,PM2.5,57.0,0.0,Moderate
Germany,Aschersleben,37,Good,OZONE,37.0,0.0,Good
Italy,Venaria Reale,78,Moderate,PM2.5,78.0,0.0,Moderate
Myanmar,Toungoo,23,Good,PM2.5,23.0,0.0,Good
Ethiopia,Debre Tabor,53,Moderate,PM2.5,53.0,0.0,Moderate
Italy,Giussano,62,Moderate,PM2.5,62.0,0.0,Moderate
Brazil,Formosa Do Rio Preto,16,Good,PM2.5,16.0,0.0,Good
Cuba,Chambas,47,Good,PM2.5,47.0,0.0,Good
India,Sironj,154,Unhealthy,PM2.5,154.0,0.0,Unhealthy
India,Karanpura,172,Unhealthy,PM2.5,172.0,0.0,Unhealthy
Brazil,Tambau,52,Moderate,PM2.5,52.0,0.0,Moderate
Italy,San Lazzaro Di Savena,63,Moderate,PM2.5,63.0,0.0,Moderate
China,Puyang,157,Unhealthy,PM2.5,157.0,0.0,Unhealthy
Turkey,Karabuk,38,Good,OZONE,38.0,0.0,Good
India,Nurpur,160,Unhealthy,PM2.5,160.0,0.0,Unhealthy
Brazil,Anastacio,13,Good,PM2.5,13.0,0.0,Good
France,Montpellier,43,Good,PM2.5,43.0,0.0,Good
China,Huainan,164,Unhealthy,OZONE,163.9,0.1,Unhealthy
Niger,Aguie,69,Moderate,PM2.5,69.0,0.0,Moderate
Japan,Machida,35,Good,OZONE,35.0,0.0,Good
Germany,Barsbuttel,33,Good,OZONE,33.0,0.0,Good
India,Garhshankar,325,Hazardous,PM2.5,326.0,1.0,Hazardous
United States of America,Pearl City,35,Good,OZONE,35.0,0.0,Good
Mali,Bafoulabe,113,Unhealthy for Sensitive Groups,PM2.5,113.0,0.0,Unhealthy (Sensitive)
Greece,Palaion Faliron,53,Moderate,PM2.5,53.0,0.0,Moderate
China,Anjiang,147,Unhealthy for Sensitive Groups,OZONE,147.0,0.0,Unhealthy (Sensitive)
Germany,Stadtbergen,66,Moderate,PM2.5,66.0,0.0,Moderate
India,Mundra,153,Unhealthy,PM2.5,153.0,0.0,Unhealthy
Brazil,Itapecerica,29,Good,PM2.5,29.0,0.0,Good
Brazil,Juatuba,152,Unhealthy,PM2.5,152.2,0.2,Unhealthy
Pakistan,Shorkot,208,Very Unhealthy,PM2.5,208.2,0.2,Very Unhealthy
United States of America,Saint Charles,81,Moderate,PM2.5,81.0,0.0,Moderate
Switzerland,Pratteln,59,Moderate,PM2.5,59.0,0.0,Moderate
Germany,Eppelheim,71,Moderate,PM2.5,71.0,0.0,Moderate
United States of America,Kirkland,56,Moderate,PM2.5,56.0,0.0,Moderate
Turkey,Marmaris,80,Moderate,OZONE,79.6,0.4,Moderate
Ukraine,Apostolove,38,Good,OZONE,38.0,0.0,Good
Thailand,Wiset Chai Chan,103,Unhealthy for Sensitive Groups,PM2.5,103.0,0.0,Unhealthy (Sensitive)
Japan,Mihara,36,Good,PM2.5,36.0,0.0,Good
United States of America,Galveston,30,Good,PM2.5,30.0,0.0,Good
Japan,Kurobe,41,Good,OZONE,41.0,0.0,Good
Germany,Rothenbach,63,Moderate,PM2.5,63.0,0.0,Moderate
Russian Federation,Chernigovka,35,Good,OZONE,35.0,0.0,Good
Democratic Republic of the Congo,Bumba,80,Moderate,PM2.5,80.0,0.0,Moderate
France,Wittenheim,42,Good,PM2.5,42.0,0.0,Good
United Kingdom of Great Britain and Northern Ireland,Slough,31,Good,PM2.5,31.0,0.0,Good
Germany,Rahden,35,Good,PM2.5,35.0,0.0,Good
United States of America,Chickasha,65,Moderate,PM2.5,65.0,0.0,Moderate
Mauritius,Bambous,56,Moderate,PM2.5,56.0,0.0,Moderate
United States of America,Hopatcong,51,Moderate,PM2.5,51.0,0.0,Moderate
Romania,Vulcan,46,Good,OZONE,46.0,0.0,Good
China,Harbin,164,Unhealthy,PM2.5,164.0,0.0,Unhealthy
Japan,Ichihara,74,Moderate,OZONE,74.0,0.0,Moderate
Italy,Civitanova Marche,56,Moderate,PM2.5,56.0,0.0,Moderate
Brazil,Nova Lima,130,Unhealthy for Sensitive Groups,PM2.5,130.2,0.2,Unhealthy (Sensitive)
India,Udhampur,154,Unhealthy,PM2.5,154.0,0.0,Unhealthy
India,Mayang Imphal,90,Moderate,PM2.5,90.0,0.0,Moderate
Brazil,Valenca Do Piaui,21,Good,PM2.5,21.0,0.0,Good
Uganda,Mayuge,73,Moderate,PM2.5,73.0,0.0,Moderate
Brazil,Muzambinho,57,Moderate,PM2.5,57.0,0.0,Moderate
Japan,Hojo,55,Moderate,PM2.5,55.0,0.0,Moderate
Poland,Wodzislaw Slaski,115,Unhealthy for Sensitive Groups,PM2.5,115.2,0.2,Unhealthy (Sensitive)
China,Guiyang,99,Moderate,PM2.5,99.0,0.0,Moderate
Tunisia,Taburbah,49,Good,OZONE,49.0,0.0,Good
Costa Rica,Heredia,64,Moderate,PM2.5,64.0,0.0,Moderate
Italy,San Giorgio Ionico,48,Good,OZONE,48.0,0.0,Good
India,Dharmapuri,60,Moderate,PM2.5,60.0,0.0,Moderate
,Benidorm,37,Good,OZONE,37.0,0.0,Good
Brazil,Vilhena,33,Good,PM2.5,33.0,0.0,Good
India,Shahpura,169,Unhealthy,PM2.5,169.0,0.0,Unhealthy
Ecuador,Daule,61,Moderate,PM2.5,61.0,0.0,Moderate
,Rio Das Ostras,52,Moderate,PM2.5,52.0,0.0,Moderate
Indonesia,Bangil,155,Unhealthy,PM2.5,155.0,0.0,Unhealthy
Indonesia,Pringsewu,63,Moderate,PM2.5,63.0,0.0,Moderate
Germany,Immenstadt,85,Moderate,PM2.5,85.0,0.0,Moderate
Germany,Bad Bramstedt,51,Moderate,PM2.5,51.0,0.0,Moderate
United States of America,Allouez,30,Good,OZONE,30.0,0.0,Good
Italy,Cadoneghe,87,Moderate,PM2.5,87.0,0.0,Moderate
Finland,Hollola,46,Good,OZONE,46.0,0.0,Good
Russian Federation,Sterlitamak,38,Good,OZONE,38.0,0.0,Good
Brazil,Gravata,33,Good,PM2.5,33.0,0.0,Good
United Kingdom of Great Britain and Northern Ireland,Hartlepool,43,Good,PM2.5,43.0,0.0,Good
India,Gangawati,65,Moderate,PM2.5,65.0,0.0,Moderate
South Africa,Klerksdorp,172,Unhealthy,PM2.5,171.5,0.5,Unhealthy
Mali,Bamako,72,Moderate,PM2.5,72.0,0.0,Moderate
China,Wuwei,101,Unhealthy for Sensitive Groups,PM2.5,101.0,0.0,Unhealthy (Sensitive)
Honduras,La Entrada,55,Moderate,PM2.5,55.0,0.0,Moderate
Germany,Senftenberg,33,Good,OZONE,33.0,0.0,Good
Czechia,Roznov,60,Moderate,PM2.5,60.0,0.0,Moderate
India,Kangayam,53,Moderate,PM2.5,53.0,0.0,Moderate
Russian Federation,Nikolskoye,29,Good,OZONE,29.0,0.0,Good
India,Dholka,153,Unhealthy,PM2.5,153.0,0.0,Unhealthy
India,Laksar,162,Unhealthy,PM2.5,162.0,0.0,Unhealthy
Germany,Dillingen,52,Moderate,PM2.5,52.0,0.0,Moderate
United States of America,Hasbrouck Heights,53,Moderate,PM2.5,53.0,0.0,Moderate
Mali,Bougouni,89,Moderate,PM2.5,89.0,0.0,Moderate
Italy,Bisceglie,45,Good,OZONE,45.0,0.0,Good
Nicaragua,Diriamba,42,Good,PM2.5,42.0,0.0,Good
Poland,Wagrowiec,30,Good,OZONE,30.0,0.0,Good
Japan,Mashiko,40,Good,OZONE,40.0,0.0,Good
Peru,Otuzco,36,Good,PM2.5,36.0,0.0,Good
United States of America,Oregon,42,Good,OZONE,42.0,0.0,Good
India,Telhara,155,Unhealthy,PM2.5,155.0,0.0,Unhealthy
Bulgaria,Svilengrad,31,Good,PM2.5,31.0,0.0,Good
United States of America,Conneaut,37,Good,PM2.5,37.0,0.0,Good
United Kingdom of Great Britain and Northern Ireland,Portadown,64,Moderate,PM2.5,64.0,0.0,Moderate
China,Lichuan,76,Moderate,PM2.5,76.0,0.0,Moderate
Colombia,El Zulia,62,Moderate,PM2.5,62.0,0.0,Moderate
Peru,San Pedro De Lloc,60,Moderate,PM2.5,60.0,0.0,Moderate
Romania,Brasov,55,Moderate,PM2.5,55.0,0.0,Moderate
Brazil,Frutal,41,Good,PM2.5,41.0,0.0,Good
