country_name,city_name,aqi_value,aqi_category,dominant_pollutant,predicted_aqi,error,risk_level
Finland,Vammala,34,Good,OZONE,34.0,0.0,Good
Brazil,Conceicao Da Feira,35,Good,PM2.5,35.0,0.0,Good
Thailand,Loei,44,Good,PM2.5,44.0,0.0,Good
United States of America,San Fernando,109,Unhealthy for Sensitive Groups,PM2.5,109.0,0.0,Unhealthy (Sensitive)
Argentina,Obera,19,Good,OZONE,19.0,0.0,Good
United States of America,Port Neches,34,Good,PM2.5,34.0,0.0,Good
France,Yzeure,39,Good,PM2.5,39.0,0.0,Good
Germany,Kierspe,54,Moderate,PM2.5,54.0,0.0,Moderate
China,Shangrao,142,Unhealthy for Sensitive Groups,OZONE,141.9,0.1,Unhealthy (Sensitive)
Viet Nam,Hai Duong,77,Moderate,PM2.5,77.0,0.0,Moderate
United States of America,Manchester,58,Moderate,PM2.5,58.0,0.0,Moderate
Botswana,Letlhakane,29,Good,OZONE,29.0,0.0,Good
Portugal,Grijo,34,Good,PM2.5,34.0,0.0,Good
Democratic Republic of the Congo,Bukama,58,Moderate,PM2.5,58.0,0.0,Moderate
Bulgaria,Sevlievo,39,Good,OZONE,39.0,0.0,Good
Poland,Opoczno,73,Moderate,PM2.5,73.0,0.0,Moderate
India,Kasrawad,161,Unhealthy,PM2.5,161.0,0.0,Unhealthy
United States of America,Glenvar Heights,91,Moderate,PM2.5,91.0,0.0,Moderate
China,Zigong,146,Unhealthy for Sensitive Groups,PM2.5,145.8,0.2,Unhealthy (Sensitive)
United States of America,Fairhaven,26,Good,OZONE,26.0,0.0,Good
Chad,Massakory,65,Moderate,PM2.5,65.0,0.0,Moderate
Germany,Langenselbold,35,Good,OZONE,35.0,0.0,Good
France,Yerres,50,Good,PM2.5,50.0,0.0,Good
Russian Federation,Murmansk,31,Good,OZONE,31.0,0.0,Good
South Africa,Port Elizabeth,79,Moderate,PM2.5,79.0,0.0,Moderate
Germany,Malsch,66,Moderate,PM2.5,66.0,0.0,Moderate
United States of America,Wareham,36,Good,OZONE,36.0,0.0,Good
Colombia,Carmen De Viboral,73,Moderate,PM2.5,72.9,0.1,Moderate
United States of America,Sayreville,64,Moderate,PM2.5,64.0,0.0,Moderate
China,Deqing,178,Unhealthy,OZONE,177.5,0.5,Unhealthy
United States of America,Alice,44,Good,PM2.5,44.1,0.1,Good
India,Rupnagar,167,Unhealthy,PM2.5,167.0,0.0,Unhealthy
Ukraine,Kremenchuk,35,Good,OZONE,35.0,0.0,Good
France,Perigueux,36,Good,OZONE,36.0,0.0,Good
Pakistan,Sibi,159,Unhealthy,PM2.5,159.1,0.1,Unhealthy
Kenya,Naivasha,60,Moderate,PM2.5,60.0,0.0,Moderate
Germany,Bruckmuhl,35,Good,PM2.5,35.0,0.0,Good
Uruguay,Juan Lacaze,24,Good,OZONE,24.0,0.0,Good
United States of America,Haslett,77,Moderate,PM2.5,77.0,0.0,Moderate
Russian Federation,Aleksandrov,56,Moderate,PM2.5,56.0,0.0,Moderate
United States of America,Charlton,66,Moderate,PM2.5,66.0,0.0,Moderate
India,Mirik,51,Moderate,PM2.5,51.0,0.0,Moderate
India,Jangipur,84,Moderate,PM2.5,84.0,0.0,Moderate
United States of America,Midlothian,66,Moderate,PM2.5,66.0,0.0,Moderate
Bangladesh,Chilmari,54,Moderate,PM2.5,54.0,0.0,Moderate
Peru,Chimbote,36,Good,PM2.5,36.0,0.0,Good
Nepal,Hetauda,207,Very Unhealthy,PM2.5,207.4,0.4,Very Unhealthy
Pakistan,Nawabshah,164,Unhealthy,PM2.5,164.0,0.0,Unhealthy
Cameroon,Edea,83,Moderate,PM2.5,83.0,0.0,Moderate
Pakistan,Jalalpur Jattan,162,Unhealthy,PM2.5,162.0,0.0,Unhealthy
Pakistan,Mirpur Khas,156,Unhealthy,PM2.5,156.0,0.0,Unhealthy
United States of America,Coachella,51,Moderate,PM2.5,51.0,0.0,Moderate
Pakistan,Sadiqabad,203,Very Unhealthy,PM2.5,202.8,0.2,Very Unhealthy
Brazil,Camaragibe,37,Good,PM2.5,37.0,0.0,Good
Brazil,Itarantim,23,Good,PM2.5,23.0,0.0,Good
India,Anklesvar,156,Unhealthy,PM2.5,156.0,0.0,Unhealthy
France,Cagnes Sur Mer,59,Moderate,PM2.5,59.0,0.0,Moderate
Germany,Oberursel,69,Moderate,PM2.5,69.0,0.0,Moderate
United States of America,Hayesville,42,Good,PM2.5,42.0,0.0,Good
Argentina,Lambare,94,Moderate,PM2.5,94.0,0.0,Moderate
Germany,Ludwigshafen,36,Good,OZONE,36.0,0.0,Good
Switzerland,Aesch,59,Moderate,PM2.5,59.0,0.0,Moderate
France,Charleville Mezieres,32,Good,PM2.5,32.0,0.0,Good
Dominican Republic,Las Matas De Farfan,100,Unhealthy for Sensitive Groups,PM2.5,100.0,0.0,Moderate
Russian Federation,Vorsma,47,Good,PM2.5,47.0,0.0,Good
United Republic of Tanzania,Bariadi,30,Good,PM2.5,30.0,0.0,Good
France,Allonnes,48,Good,PM2.5,48.0,0.0,Good
Romania,Jimbolia,67,Moderate,PM2.5,67.0,0.0,Moderate
Germany,Asperg,28,Good,OZONE,28.0,0.0,Good
Poland,Znin,42,Good,OZONE,42.0,0.0,Good
